File Title,Link,Resource Type,Subject Matter Tags,Infrastructure Tags,Geography Tags,Subject Matter Experts (SMEs),External to NCEI,Status,Reviewed By,Review Notes,Decision,Last updated
DOI consolidated SOP for FY17,https://docs.google.com/document/d/1Asa-hGQ3Tro6_IYgWX6vvipNuQlY-ZkXrinRkffVKaU/edit#heading=h.cg145wah17ja,Google Doc,DOI,,"CO, MD, MS, NC",donald.collins@noaa.gov,,Needs Review,,,,"July 27, 2021 11:07:02 AM CDT"
Requesting a DOI consolidated Guidance for FY17,https://docs.google.com/document/d/121mxQely0qwrW89CqI7_Aj1ECeVl0xot03dosKow_JY/edit#heading=h.1ddvnwgpn0dr,Google Doc,DOI,,"CO, MD, MS, NC",donald.collins@noaa.gov,,Needs Review,,,,"July 27, 2021 11:07:33 AM CDT"
SOP for Minting DOIs for Paleo Studies,https://docs.google.com/document/d/1Ed8TCD5tq5XB8YpN3xJr1Ta-bogGTudHHywHp4_ZSug/edit,Google Doc,DOI,,"NC, MD, MS, CO",philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 11:07:53 AM CDT"
NCEI Data Stewardship Internal Guidance - Draft 1.0,https://docs.google.com/document/d/1LyAUILd26mQ21k6GpGsdS9b4MYxniGXb5BbTJjz8jCA/edit,Google Doc,Stewardship Documentation WG,,"CO, MD, MS, NC",dana.ostrenga@noaa.gov,,Needs Review,,,,"July 27, 2021 11:08:38 AM CDT"
Data Manager Guidebook,https://docs.google.com/document/edit?hgd=1&id=1pipDdxPPyeqMHPoVn09nU59F54CnPEav8RGJs_CiV-c#heading=h.rbc2wvil5eyf,Google Doc,Guidance,Common Ingest,CO,dan.kowal@noaa.gov,,Needs Review,,,,"July 27, 2021 12:43:51 PM CDT"
DSMQ User's Guide DRAFT (Staging Ground),https://docs.google.com/document/d/1QtMA8klbroLP65dRKZtQRXfCZ4mMB7PFPfSVl4ZHLe8/edit#heading=h.m61mmu4yoq94,Google Doc,"CoMET, DSMQ",Collection Manager,NC,"catherine.luquire@noaa.gov, lori.hager@noaa.gov",,Needs Review,,,,"July 27, 2021 10:49:56 AM CDT"
Draft Metadata Retention Guidelines,https://docs.google.com/document/d/1A8evbtM5n01C3GXhknAqIxrAqLPDqJkfs-7awuoIQEA/edit#heading=h.9ds5759hnhmr,Google Doc,Metadata,,"NC, MD, CO",heather.brown@noaa.gov,,Needs Review,,,,"July 27, 2021 11:12:15 AM CDT"
MACI Step-by-Step Instructions for SMEs,https://docs.google.com/document/d/1qGDjO38HxAmT7ugZhsxM--Del_KHpJpB655bG1C9KGo/edit,Google Doc,"Metadata, SOP",,NC,philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 11:11:47 AM CDT"
PD-10-2-001 Archiving Policy,https://drive.google.com/file/d/1C-GP4yqu7m0YZOZ0twCnEIbI622Rwol_/view,pdf,"Policy, DO",,"CO, MD, MS, NC",,,Needs Review,,,,"July 30, 2021 11:12:44 AM CDT"
NOAA_Procedure_document_final_12-16-1,https://nosc.noaa.gov/EDMC/documents/NOAA_Procedure_document_final_12-16-1.pdf,pdf,"Policy, EDMC",,,,,Needs Review,,,,"July 30, 2021 11:14:35 AM CDT"
NAO_212-15_Signed_4pg,https://nosc.noaa.gov/EDMC/documents/NAO_212-15_Signed_4pg.pdf,pdf,"Policy, EDMC",,,,,Needs Review,,,,"July 30, 2021 11:15:05 AM CDT"
npd_6010_01a,https://www.nesdis.noaa.gov/sites/default/files/asset/document/npd_6010_01a.pdf,pdf,"Policy, NESDIS",,,,Yes,Reviewed,,,,"July 30, 2021 11:19:31 AM CDT"
EDMC-PD-DMP-2.0.1_remediated,https://nosc.noaa.gov/EDMC/documents/EDMC-PD-DMP-2.0.1_remediated.pdf,pdf,"Policy, EDMC",,,,Yes,Needs Review,,,,"July 30, 2021 11:20:48 AM CDT"
NODC_levels_of_stewardship,https://www.nodc.noaa.gov/media/pdf/outreach/NODC_levels_of_stewardship.pdf,pdf,,,,,Yes,Needs Review,,,,"July 30, 2021 11:19:43 AM CDT"
AB-GUID-01908_R0_NCEI Encouraged Data Formats Guidance,https://drive.google.com/file/d/0B8VXHmZnnRUgbmg3Yy1keTg3UU0/view?resourcekey=0-B6yGKZR2azX60awxEHcObA,pdf,"Guidance, File Formats",,"NC, MD, MS, CO",donald.collins@noaa.gov,,Needs Review,,,,"July 30, 2021 11:25:05 AM CDT"
SOP 10-3-001 - Interim NCEI Stewardship Business Model Process for Tier 1 and Tier 2 Stewardship,https://drive.google.com/file/d/1pq2vbeHGmRW0tiuRg5wbclHnLtv5gyfv/view,pdf,"SOP, SBM, DO",,"CO, MD, MS, NC",dean.carter@noaa.gov,,Needs Review,,,,"July 30, 2021 11:25:37 AM CDT"
E2EProcessRolesandResponsibliities,https://drive.google.com/file/d/0B8Dv3igO8n_EVldyVng2TXpXUWs/view?resourcekey=0-euy_lZVxRjvMZaEHj4twdA,pdf,"DCM Training, Vocabulary",,"CO, MS, MD, NC",debra.s.braun@noaa.gov,,Needs Review,,,,"July 30, 2021 11:29:09 AM CDT"
AB-TOR-01707_R0_NCEI Archive Appraisal Committee Terms of Reference,https://drive.google.com/file/d/0B8VXHmZnnRUgV2pVN0ZnOVlISTQ/view?resourcekey=0-PNokkcJI7a7HOrxQ9ZlMfA,pdf,"AAC, TOR",ATRAC,"NC, MD, CO, MS",robert.persons@noaa.gov,,Needs Review,,,,"July 30, 2021 11:28:53 AM CDT"
AB-GUID-02823_R1_Guidance for The NCEI Collection Level Metadata Template v1.1,https://drive.google.com/file/d/1RqI3pqYr1vLCjj--7mklkNoclOwOrpDD/view,pdf,Metadata,,"NC, CO, MD, MS",,,Needs Review,,,,"July 27, 2021 11:16:20 AM CDT"
AB-PRCD-01712_R0_Archive Management System Standard Operating Procedure S2N Procedure Overview and Frequently Asked Questions,https://drive.google.com/file/d/0B8VXHmZnnRUgTkVfb21ncDBtLWM/view?resourcekey=0-OUUSGco4q29HvsrQCxRyog,pdf,"SOP, AMS, FAQ",AMS,"MD, NC, MS",donald.collins@noaa.gov,,Needs Review,,,,"July 30, 2021 11:30:32 AM CDT"
AB-GUID-01907_R0_How to Mint a DOI - NCEI Archive Branch Guidelines Document,https://drive.google.com/file/d/0B8VXHmZnnRUgS2tmcFlBN1VWV00/view?resourcekey=0-UIBA_M0U6XI5g6YX5AkIwQ,pdf,DOI,,"CO, NC, MD, MS",,,Needs Review,,,,"July 27, 2021 11:57:43 AM CDT"
AB-GUID-01910_R0_Keyword Implementation Recommendations v1.0,https://drive.google.com/file/d/0B8VXHmZnnRUgcl9rdDhCc1lTeVE/view?resourcekey=0-rGCH2NyWEBM70pbSx88uSw,pdf,"Metadata, Vocabulary, EDMC",,"CO, NC, MD, MS",,,Needs Review,,,,"July 30, 2021 11:31:33 AM CDT"
"Submitting Marine Geophysical Data to the NOAA National
Centers for Environmental Information
& the co-located IHO Data Center for Digital Bathymetry",https://www.ngdc.noaa.gov/iho/SubmittingMarineGeophysicalData.pdf,pdf,SOP,,CO,Jennifer.Jencks@noaa.gov,,Needs Review,,,,"July 27, 2021 12:01:10 PM CDT"
AB-REQR-01708_R0_OneStop Data Group Readiness Requirements,https://drive.google.com/file/d/0B8VXHmZnnRUgeE5pX3VzbVlyY2s/view?resourcekey=0-TnxBJZ86_y2-S25UEb4MdQ,pdf,Metadata,OneStop,"CO, MD, MS, NC",,,Needs Review,,,,"July 27, 2021 11:18:38 AM CDT"
AB-REQR-01708_R1_NOAA OneStop Data and Metadata Improvement Tiers - A Comprehensive Guide for Data Managers,https://drive.google.com/file/d/1P7ssefYLB95IoKAef0HwbIIGtJ_UyM4e/view,pdf,Metadata,OneStop,"CO, NC, MD, MS",paul.lemieux@noaa.gov,,Needs Review,,,,"July 27, 2021 11:19:02 AM CDT"
AB-GUID-01738_R1_Non-Digital Collections and their Digital Manifestations - Guidelines for Capturing Relationships in the Collection Metadata Record,https://drive.google.com/file/d/0B8VXHmZnnRUgaXpwMVk5emVsYjg/view?resourcekey=0-86ZjyGK1AOka-qVSffLdpA,pdf,,,,,,Needs Review,,,,"July 16, 2021 8:09:03 PM CDT"
10-10-001_ Scientific Records Removal,https://drive.google.com/file/d/0B_FQJ9heNcfFQ1dZT0RRR21RampqZWtNTW1VODByS1BnTDZJ/view?resourcekey=0-5wo_KaKhTxSvTfr93RNLWQ,pdf,SOP,,"CO, NC, MD, MS","jason.cooper@noaa.gov, donald.collins@noaa.gov",,Needs Review,,,,"July 27, 2021 11:19:54 AM CDT"
decision_tree_high_res,https://www.nodc.noaa.gov/data/formats/netcdf/v2.0/decision_tree_high_res.pdf,pdf,NetCDF,,,,,Needs Review,,,,"July 26, 2021 8:49:35 AM CDT"
Circular-016,https://www.whitehouse.gov/wp-content/uploads/2017/11/Circular-016.pdf,pdf,Metadata,,,,,Needs Review,,,,"July 27, 2021 11:58:29 AM CDT"
AB-PRCD-01713_R0_Archival Reappraisal and Recommendation,https://drive.google.com/file/d/0B8VXHmZnnRUgUnVXTUZQYmlqb3M/view?resourcekey=0-mfJ25VigieEH-KOpH6MFvw,pdf,SOP,,,,,Needs Review,,,,"July 27, 2021 11:58:57 AM CDT"
NCEI PD-10-xxx - Limiting Access to Archived Data,https://docs.google.com/document/d/1BNy6uZxDEAvPDrUbSzU2D3qqJSsNuYsxptAIDFwXQp0/edit#bookmark=id.gjdgxs,Google Doc,Policy,,,,,Needs Review,,,,"July 27, 2021 11:20:06 AM CDT"
Data Officer Accession Review Training,https://docs.google.com/document/d/1gBSmi5ri--ZvltO6LwK2qBEyWFmKYhhvkbWA103Q88g/edit?ts=60ec546b#heading=h.vhydp4wjjar,Google Doc,DO,S2N,,,,Needs Review,,,,"July 17, 2021 9:53:27 AM CDT"
Data Stewardship Documents Inventory - 2019-07-24,https://docs.google.com/spreadsheets/d/1n8rqELd5nFGPJ4A0FGOJE6kvFiVMpvYYglwa_B-0ID8/edit#gid=0,Google Sheet,Stewardship Documentation WG,,,,,Needs Review,,,,"July 17, 2021 9:53:05 AM CDT"
FY19 NCEI data formats survey,https://docs.google.com/spreadsheets/d/1RXYYsu0UKmpu8OkiDvJShh9QI0HsbN7smk5NMBN9tZw/edit#gid=0,Google Sheet,File Formats,,,,,Needs Review,,,,"July 17, 2021 9:52:56 AM CDT"
AAC Project Tracking List,https://docs.google.com/spreadsheets/d/17Va0j_mQI-QbAkcO8uADRPKCseGDGU7hQKCZP6rJgog/edit#gid=1495759390,Google Sheet,AAC,"ATRAC, Common Ingest",NC,robert.persons@noaa.gov,,Needs Review,,,,"July 27, 2021 11:20:36 AM CDT"
Resource Links in ISO Metadata,https://docs.google.com/spreadsheets/d/1zFDVeJOJM2vDYCIkXx_qlyPKHMaSDwQTI6b78Yiyz4o/edit#gid=690453525,Google Sheet,Metadata,,"NC, MD, MS, CO",philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 11:20:53 AM CDT"
NCEI Data Managers - 2017,https://docs.google.com/spreadsheets/d/1KMVlLYVD0iMWawPyaa734mZGUepkdFW_oadpCfg5b0k/edit#gid=0,Google Sheet,,,CO,david.fischman@noaa.gov,,Needs Review,,,,"July 30, 2021 2:06:27 PM CDT"
2013 NGDC Data Manager - Shareable Skills,https://docs.google.com/spreadsheets/d/1mhwCVcPaKzOPyEVh_JRuXphwSHsM9JbxvAzkuN5ITfo/edit#gid=0,Google Sheet,,,CO,kelly.carignan@noaa.gov,,Needs Review,,,,"July 27, 2021 12:41:18 PM CDT"
Document Management Brief,https://docs.google.com/presentation/d/12en9Oj9B0hqPdVRwOf0iA-Q0by2CNbogicrnVE-M5dc/edit#slide=id.p4,Google Slides,"Document Management, presentation",,"CO, NC, MD, MS","dan.kowal@noaa.gov, jason.cooper@noaa.gov",,Needs Review,,,,"July 30, 2021 1:10:21 PM CDT"
2020-09-01_NCEI-MD_AMS_workflow,https://docs.google.com/presentation/d/1gDrMBk9QrUe548eXY1l0i_EHNP5yJ4u_H9zgK72RsO4/edit#slide=id.p,Google Slides,"AMS, DCM Training",AMS,"MD, MS, NC",donald.collins@noaa.gov,,Needs Review,,,,"July 30, 2021 1:10:55 PM CDT"
SBM slide deck_edited_widescreen_for EDMC_08Sep,https://docs.google.com/presentation/d/17dvxKPidlMhjVEbwoj3QyE4yBWcKJKpGPkfkYV6MbCk/edit#slide=id.p1,Google Slides,"SBM, presentation",,"NC, MD, MS, CO",dean.carter@noaa.gov,Yes,Needs Review,,,,"July 30, 2021 1:11:58 PM CDT"
FY21 S2N Appraisal Basics,https://docs.google.com/presentation/d/1Ky3cMH6Jchf68LE8XSSvbo7puW6WeLhEIbwYHTBsM_g/edit#slide=id.p1,Google Slides,"AMS, DCM Training, presentation",S2N,"MD, MS, NC",donald.collins@noaa.gov,,Needs Review,,,,"July 30, 2021 1:12:41 PM CDT"
CI Architecture 2021,https://docs.google.com/presentation/d/1VcJ1pvjYcFpTA13gigZJ8YYggznWN9QvVATkn7-fUXI/edit#slide=id.p,Google Slides,Common Ingest,Common Ingest,NC,ian.krintz@noaa.gov,,Needs Review,,,,"July 27, 2021 12:08:23 PM CDT"
Group B_Example Data Package Walk through,https://docs.google.com/presentation/d/1eEaOlT7Lh2L5z2GshGtiYzfEty_R8SE_N57a5IJ2a-Y/edit#slide=id.p,Google Slides,"DCM Training, presentation",S2N,,,,Needs Review,,,,"July 30, 2021 1:12:53 PM CDT"
Data Management Lifecycle at NGDC,https://docs.google.com/presentation/d/1uFDv4dgIbITX98f0VodIfUVQkCJZ9hng5Tbeo1aaYWE/edit#slide=id.p,Google Slides,presentation,"ATRAC, Common Ingest",CO,dan.kowal@noaa.gov,,Needs Review,,,,"July 30, 2021 1:13:32 PM CDT"
NGDC OAIS/Archive Process Presentation,https://intranet.ngdc.noaa.gov/wiki/images/a/ae/Ngdc_oais-5.pptx.zip,Powerpoint,,,CO,,,Needs Review,,,,"July 17, 2021 9:54:07 AM CDT"
AMS Wiki,https://intra.nodc.noaa.gov/twiki/bin/view/NODC/AMS,website,,"AMS, S2N","MD, MS","donald.collins@noaa.gov, thomas.ryan@noaa.gov, john.relph@noaa.gov",,Needs Review,,,,"July 27, 2021 12:09:52 PM CDT"
S2N Public,https://www.nodc.noaa.gov/s2n/,website,,S2N,,"donald.collins@noaa.gov, thomas.ryan@noaa.gov, john.relph@noaa.gov",,Needs Review,,,,"July 27, 2021 12:10:13 PM CDT"
OAIS Reference Model,https://intranet.ngdc.noaa.gov/wiki/index.php?title=OAIS_Reference_Model,website,,,,,,Needs Review,,,,"July 16, 2021 8:09:03 PM CDT"
BagIt Wikipedia,https://en.wikipedia.org/wiki/BagIt,website,,,,,,Needs Review,,,,"July 16, 2021 8:09:03 PM CDT"
FGDC GEOSPATIAL METADATA STANDARDS AND GUIDELINES,https://www.fgdc.gov/metadata/geospatial-metadata-standards,website,"Metadata, standards",,,,,Needs Review,,,,"July 30, 2021 1:16:50 PM CDT"
Collection Manager WAFs,https://data.noaa.gov/waf/,website,Metadata,Collection Manager,"NC, CO",martin.aubrey@noaa.gov,,Needs Review,,,,"July 27, 2021 10:58:38 AM CDT"
NCEI Maps and Geospatial Products,https://www.ncei.noaa.gov/maps-and-geospatial-products,website,Data Access,GIS,"CO, NC, MS",,,Needs Review,,,,"July 30, 2021 1:17:39 PM CDT"
NGDC THREDDS Catalog,https://www.ngdc.noaa.gov/thredds/catalog.html,website,Data Access,,,,,Needs Review,,,,"July 27, 2021 10:58:53 AM CDT"
NGDC Request to Archive with ATRAC (Wiki),https://www.ngdc.noaa.gov/wiki/index.php?title=Request_to_Archive_with_ATRAC,website,,ATRAC,CO,,,Needs Review,,,,"July 17, 2021 9:54:36 AM CDT"
NOAA OneStop,https://data.noaa.gov/onestop/,website,"Metadata, Data Access",OneStop,NC,"nancy.ritchey@noaa.gov, kenneth.casey@noaa.gov",,Needs Review,,,,"July 27, 2021 1:22:36 PM CDT"
NGDG Metadata Wiki,https://www.ngdc.noaa.gov/wiki/index.php?title=Metadata,website,Metadata,,CO,,,Needs Review,,,,"July 16, 2021 8:24:09 PM CDT"
CoMET,https://data.noaa.gov/cedit/,website,Metadata,Collection Manager,NC,"john.relph@noaa.gov, donald.collins@noaa.gov",,Needs Review,,,,"July 27, 2021 1:21:28 PM CDT"
Docucomp,https://data.noaa.gov/docucomp/,website,Metadata,Collection Manager,NC,"john.relph@noaa.gov, donald.collins@noaa.gov",,Needs Review,,,,"July 27, 2021 1:21:36 PM CDT"
Metaserver,https://data.noaa.gov/metaserver/,website,Metadata,Collection Manager,NC,"john.relph@noaa.gov, donald.collins@noaa.gov",,Needs Review,,,,"July 27, 2021 1:22:04 PM CDT"
Cruisepack,https://ngdc.noaa.gov/mgg/cruisepack/,website,Cruisepack,,CO,charles.anderson@noaa.gov,,Needs Review,,,,"July 27, 2021 1:21:47 PM CDT"
EMMA,https://data.noaa.gov/waf/emma/,website,Metadata,Collection Manager,NC,"john.relph@noaa.gov, donald.collins@noaa.gov",,Needs Review,,,,"July 27, 2021 1:22:14 PM CDT"
NCEI Resources,https://www.ncei.noaa.gov/resources,website,,,"MD, MS, CO, NC",,,Needs Review,,,,"July 29, 2021 4:54:46 PM CDT"
CoRIS Glossary of Terminology,https://www.coris.noaa.gov/glossary/welcome.html#!/,website,"Metadata, Vocabulary",,"MS, MD",sarah.oconnor@noaa.gov,,Needs Review,,,,"July 29, 2021 4:55:14 PM CDT"
NCEI NetCDF Templates,https://www.nodc.noaa.gov/data/formats/netcdf/v2.0/,website,"NetCDF, Template",,"MD, NC, MS, CO",,,Needs Review,,,,"July 27, 2021 12:15:26 PM CDT"
Don's AMS Cookbook (Wiki),https://intra.nodc.noaa.gov/twiki/bin/view/NODC/CookBook,website,"AMS, DCM Training",AMS,"MD, MS",donald.collins@noaa.gov,,Needs Review,,,,"July 30, 2021 1:19:04 PM CDT"
OAIS at NGDC,https://intranet.ngdc.noaa.gov/wiki/index.php?title=OAIS_at_NGDC,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:00 PM CDT"
Submission Agreement Content,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Submission_Agreement_Content,website,SA,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Archive:Policies/Recommendations/Agreements,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Archive:Policies/Recommendations/Agreements#Agreements_.2F_Other_Policy_Guidelines,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Progress Tracking for Archive Projects,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Progress_Tracking_for_Archive_Projects,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
NGDC Tracking System FAQ,https://intranet.ngdc.noaa.gov/wiki/index.php?title=NGDC_Tracking_System_FAQ,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Procedures for Archiving Data at NGDC,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Procedures_for_Archiving_Data_at_NGDC,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
ADIC Inventory Information,https://intranet.ngdc.noaa.gov/wiki/index.php?title=ADIC_Inventory_Information,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Archive API Administration Manual,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Archive_API_Administration_Manual#Custom_Delivery_Locations,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Next Project,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Next_Project,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:21 PM CDT"
Archive API Programmers Manual,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Archive_API_Programmers_Manual,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
NGDC Systems Information,https://intranet.ngdc.noaa.gov/wiki/index.php?title=NGDC_Systems_Information#Current_Data_Statistics,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
NGDC Metadata,https://intranet.ngdc.noaa.gov/wiki/index.php?title=NGDC_Metadata,website,Metadata,,CO,,,Needs Review,,,,"July 27, 2021 12:01:34 PM CDT"
Agile Project,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Agile_Project,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Groovy Techniques,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Groovy_Techniques,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Configuration Management Processes,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Configuration_Management_Processes,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
NGDC ARC,https://intranet.ngdc.noaa.gov/wiki/index.php?title=NGDC_ARC,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
IDB,https://intranet.ngdc.noaa.gov/wiki/index.php?title=IDB,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Trusted Digital Repositories,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Trusted_Digital_Repositories,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
ISD Help Desk RT Tracker,https://intranet.ngdc.noaa.gov/wiki/index.php?title=ISD_Help_Desk_RT_Tracker,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
NCEI-CO Software Development Baseline,https://intranet.ngdc.noaa.gov/wiki/index.php/NCEI-CO_Software_Development_Baseline,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
CM Baselines,https://intranet.ngdc.noaa.gov/wiki/index.php?title=CM_Baselines,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Network Storage Allocation Page,https://intranet.ngdc.noaa.gov/wiki/index.php/Network_Storage_Allocation_Page,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Marine Geology Data Management at NCEI,https://intranet.ngdc.noaa.gov/wiki/index.php?title=Geology,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
CORS development,https://intranet.ngdc.noaa.gov/wiki/index.php?title=CORS_development,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
Contribute Marine Geological and Geophysical Data to NCEI,https://ngdc.noaa.gov/mgg/aboutmgg/contrib.html,website,,,CO,,,Needs Review,,,,"July 16, 2021 8:25:20 PM CDT"
NCEI Archive Branch Google Site,https://sites.google.com/a/noaa.gov/ncei-archive-branch/,website,,,"NC, CO, MD, MS","paul.lemieux@noaa.gov, nancy.ritchey@noaa.gov",,Needs Review,,,,"July 27, 2021 12:13:45 PM CDT"
Archive Branch Document Library,https://www.ncei.noaa.gov/ords/f?p=111:1::::::,website,Document Management,Apex,NC,"jason.sharp@noaa.gov, peter.jones@noaa.gov",,Needs Review,,,,"July 27, 2021 12:12:54 PM CDT"
NCEI About,https://www.ncei.noaa.gov/about,website,,,"CO, NC, MD, MS",,,Needs Review,,,,"July 29, 2021 4:51:07 PM CDT"
NCEI Archiving,https://www.ncei.noaa.gov/about,website,Stewardship Documentation WG,,"CO, MD, MS, NC",,,Needs Review,,,,"July 30, 2021 1:21:11 PM CDT"
NCEI Metadata,https://www.ncei.noaa.gov/resources/metadata,website,Metadata,,"CO, NC, MD, MS",,,Needs Review,,,,"July 29, 2021 4:50:42 PM CDT"
NCEI Data Managers Google Site,https://sites.google.com/a/noaa.gov/ncei-data-managers/resources?authuser=0,website,"Metadata, Guidance",,"CO, MD, MS, NC",aaron.sweeney@noaa.gov,,Needs Review,,,,"July 27, 2021 1:20:26 PM CDT"
NCEI IOOS Google Site,https://sites.google.com/a/noaa.gov/ncei-ioos-archive/home,website,Guidance,,,,,Needs Review,,,,"July 30, 2021 1:21:01 PM CDT"
NOAA EDM ISO Explorer,https://geo-ide.noaa.gov/wiki/index.php?title=Category:ISO_Explorer,website,Metadata,,"NC, MD, CO, MS",,,Needs Review,,,,"July 27, 2021 12:11:49 PM CDT"
ATRAC,https://www.ncdc.noaa.gov/atrac/index.html,website,"AAC, Metadata","ATRAC, Common Ingest",NC,"philip.jones@noaa.gov, ken.roberts@noaa.gov",,Needs Review,,,,"July 27, 2021 12:11:24 PM CDT"
